./data/images/20151127_115133.jpg,1819,513,2850,1404,pasta_zafferano_e_piselli
./data/images/20151127_115133.jpg,367,943,1215,1584,arrosto
./data/images/20151127_115133.jpg,545,1265,1269,1793,patate/pure
./data/images/20151127_115133.jpg,257,378,531,640,mandarini
./data/images/20151127_115151.jpg,1376,147,2706,1647,pizza
./data/images/20151127_115229.jpg,1110,250,1600,756,yogurt
./data/images/20151127_115229.jpg,2158,334,2778,808,pane
./data/images/20151127_115229.jpg,1715,889,2658,1882,pasta_zafferano_e_piselli
./data/images/20151127_115229.jpg,389,826,1230,1671,torta_salata_spinaci_e_ricotta
./data/images/20151127_115229.jpg,332,1343,943,1917,patate/pure
./data/images/20151127_115424.jpg,491,515,1408,1391,pasta_mare_e_monti
./data/images/20151127_115424.jpg,1745,1293,2450,1923,patate/pure
./data/images/20151127_115424.jpg,1793,713,2867,1700,rosbeef
./data/images/20151127_120002.jpg,1230,228,1734,778,pane
./data/images/20151127_120002.jpg,252,884,1102,1800,pizzoccheri
./data/images/20151127_120002.jpg,1693,843,2630,1450,pesce_(filetto)
./data/images/20151127_120002.jpg,1478,1163,2363,1808,spinaci
./data/images/20151127_120156.jpg,1210,1286,1817,1939,pane
./data/images/20151127_120156.jpg,669,732,1234,1323,cotoletta
./data/images/20151127_120156.jpg,45,741,721,1413,patate/pure
./data/images/20151127_120156.jpg,1595,595,2756,1410,pizzoccheri
./data/images/20151127_120208.jpg,534,863,1493,1613,pizzoccheri
./data/images/20151127_120446.jpg,934,902,1895,1873,pasta_mare_e_monti
./data/images/20151127_120643.jpg,2008,404,2713,915,pane
./data/images/20151127_120643.jpg,1502,1104,2500,1984,pizzoccheri
./data/images/20151127_120643.jpg,634,602,1193,1371,arrosto
./data/images/20151127_120643.jpg,271,539,708,1408,patate/pure
./data/images/20151127_120755.jpg,871,210,2334,1806,pizza
./data/images/20151127_120831.jpg,621,621,2628,1976,pizza
./data/images/20151127_121240.jpg,352,365,878,808,pane
./data/images/20151127_121240.jpg,1695,660,2695,1471,pasta_zafferano_e_piselli
./data/images/20151127_121240.jpg,502,1391,1178,2182,patate/pure
./data/images/20151127_121240.jpg,904,1215,1473,1976,scaloppine
